Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
DyCo2,5.45,1 T,142,table_only_1stcheck6.txt,55,Calculation of magnetic entropy changes by fitting magnetization function,RARE METAL MATERIALS AND ENGINEERING,,mp-2628
Gd,10.07 to 4.47,5 T,294 to 288,table_only_1stcheck9.txt,281,Magnetic entropy change in bulk nanocrystalline Gd metals,APPLIED NANOSCIENCE,10.1007/s13204-011-0007-2,mp-155
Mn3GaC,33,nan T,,table_only_1stcheck42.txt,269,"Assessment of the magnetic entropy change in the metallic antiperovskite Mn3GaC1-delta (delta=0, 0.22)",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2005.04.020,mp-21313
YCrO3,0.38,8 T,,table_only_1stcheck61.txt,399,Magnetic entropy change in a non-collinear weak ferromagnetic YCrO3,VACUUM,10.1016/j.vacuum.2020.109519,mp-18725
ErCuAl,22.9,0-5 T,,table_only_1stcheck69.txt,93,Large magnetic entropy change and refrigerant capacity in rare-earth intermetallic RCuAl (R=Ho and Er) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2012.03.052,mp-1078592
HoCuAl,23.9,0-5 T,,table_only_1stcheck69.txt,232,Large magnetic entropy change and refrigerant capacity in rare-earth intermetallic RCuAl (R=Ho and Er) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2012.03.052,mp-1078489
SmMn2Ge2,0.65mol,nan T,,table_only_1stcheck92.txt,335,Magnetic entropy changes of SmMn2Ge2 under high pressure,MATERIALS TRANSACTIONS,10.2320/matertrans.48.451,mp-20646
SmMn2Ge2,0.53mol,nan T,,table_only_1stcheck92.txt,336,Magnetic entropy changes of SmMn2Ge2 under high pressure,MATERIALS TRANSACTIONS,10.2320/matertrans.48.451,mp-20646
Ba2FeMoO6,0.93,2.5 T,,table_only1001.txt,14,"Structural, magnetic and magnetocaloric properties of double perovskites Ba2-xLaxFeMoO6",SOLID STATE SCIENCES,10.1016/j.solidstatesciences.2019.105991,mp-18995
CeFe2,7.9,,,table_only1006.txt,22,Magnetic phase transitions in the Ce(Fe1-x Si (x) )(2) compounds,PHYSICS OF METALS AND METALLOGRAPHY,10.1134/S0031918X14120096,mp-204
TmCoAl,18.2,5 T,,table_only1029.txt,592,Magnetic property and magnetocaloric effect in TmCoAl compound,INTERMETALLICS,10.1016/j.intermet.2014.08.006,mp-1216791
Dy2In,8.8,nan T,,table_only1031.txt,64,The enhanced magnetocaloric effect in Dy2In1-xAlx by a non-hysteresis metamagnetic phase transition,SCRIPTA MATERIALIA,10.1016/j.scriptamat.2019.03.029,mp-21351
EuMnO3,15.23,1.2 T,,table_only1034.txt,179,"Structural, magnetic and magnetocaloric properties of EuMnO3 perovskite manganite: A comprehensive MCE study",MATERIALS RESEARCH EXPRESS,10.1088/2053-1591/aaacdc,mp-20614
DyNi2Si2,6.9,2 T,,table_only1059.txt,100,"Low-field large reversible magnetocaloric effect in the RNi2Si2 (R=Dy, Ho, Er) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2013.05.039,mp-4692
ErNi2Si2,15.1,2 T,,table_only1059.txt,163,"Low-field large reversible magnetocaloric effect in the RNi2Si2 (R=Dy, Ho, Er) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2013.05.039,mp-4881
HoNi2Si2,10.9,2 T,,table_only1059.txt,401,"Low-field large reversible magnetocaloric effect in the RNi2Si2 (R=Dy, Ho, Er) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2013.05.039,mp-2924
DyMn2,15.7,0-5 T,,table_only1075.txt,96,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,mp-2483
ErMn2,25.5,0-5 T,,table_only1075.txt,152,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,mp-11855
HoMn2,18.4,0-5 T,,table_only1075.txt,390,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,mp-2769
TbMn2,8.3,0-1 T,,table_only1075.txt,566,"Large reversible magnetocaloric effect in RMn2 (R = Tb, Dy, Ho, Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.03.185,mp-20075
NdCo2,8.75,5 T,102,table_only1081.txt,468,"Effect of Mn content on crystal structure, magnetic properties and magnetocaloric effect of NdCo2-xMnx compounds",PHILOSOPHICAL MAGAZINE LETTERS,10.1080/09500839.2020.1765038,mp-445
Er3Ni2,19.5,0-5 T,,table_only1082.txt,129,Magnetic properties and magnetocaloric effects in R3Ni2 (R = Ho and Er) compounds,APPLIED PHYSICS LETTERS,10.1063/1.3643142,mp-540546
Ho3Ni2,21.7,0-5 T,,table_only1082.txt,346,Magnetic properties and magnetocaloric effects in R3Ni2 (R = Ho and Er) compounds,APPLIED PHYSICS LETTERS,10.1063/1.3643142,mp-1080523
DyTiGe,2,5 T,,table_only1101.txt,114,Magnetic properties and magnetic structure of DyTiGe,PHYSICA B-CONDENSED MATTER,10.1016/S0921-4526(01)00980-2,mp-20626
Dy2Cr2C3,13.5,5 T,,table_only1103.txt,58,Large magnetocaloric effect in antiferromagnetic ternary carbide Dy2Cr2C3 around liquid hydrogen temperature,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2022.169339,mp-1025323
Sr2FeMoO6,0.413,1.5 T,391,table_only_1stcheck107.txt,349,Substitution Effect of Ba in Sr2FeMoO6 Compounds for Magnetic-Entropy Change,JOURNAL OF THE KOREAN PHYSICAL SOCIETY,10.3938/jkps.53.2674,mp-18857
DyCo2,2.3,0.4 T,142,table_only_1stcheck124.txt,52,Large low-field magnetic entropy change in DyCo2,INTERMETALLICS,10.1016/S0966-9795(02)00061-4,mp-2628
DyCo2,4.8,0.8 T,142,table_only_1stcheck124.txt,53,Large low-field magnetic entropy change in DyCo2,INTERMETALLICS,10.1016/S0966-9795(02)00061-4,mp-2628
DyCo2,5.8,1.0 T,142,table_only_1stcheck124.txt,54,Large low-field magnetic entropy change in DyCo2,INTERMETALLICS,10.1016/S0966-9795(02)00061-4,mp-2628
GdPO4 NRs,56.2,60 kOe,,table_only1135.txt,313,Magnetic and cryogenic magnetocaloric properties of GdPO4 nanorods,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.167452,mp-6834
TbNi4Si,6.3,0-50 kOe,37,table_only1143.txt,571,Magnetic order of YNi4Si-type TbNi4Si,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2014.04.057,mp-1070859
HoErCo MEA,15,5.0 T,16,table_only_1stcheck161.txt,234,Manufacture and characterization of HoErCo medium-entropy alloy microwires with excellent magnetic entropy change,JOURNAL OF NON-CRYSTALLINE SOLIDS,10.1016/j.jnoncrysol.2020.120570,mp-643306
NdPd,12.2,5 T,15.5,table_only1166.txt,479,Magnetic Properties and Magnetocaloric Effect of Binary Compound NdPd,JOURNAL OF LOW TEMPERATURE PHYSICS,10.1007/s10909-019-02236-0,mp-999336
TmZnAl,11.8,7 T,2.8,table_only1193.txt,603,Magnetic properties and magnetocaloric effect in TmZnAl and TmAgAl compounds,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2015.10.026,mp-1077423
NdGa,21.1,0-7 T,42,table_only1196.txt,471,Magnetic anisotropy and large low field rotating magnetocaloric effect in NdGa single crystal,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.05.028,mp-1448
NdGa,16.6,7 T,42,table_only1196.txt,472,Magnetic anisotropy and large low field rotating magnetocaloric effect in NdGa single crystal,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.05.028,mp-1448
NdGa,10.1,2 T,42,table_only1196.txt,473,Magnetic anisotropy and large low field rotating magnetocaloric effect in NdGa single crystal,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.05.028,mp-1448
Eu3B2O6,38.6,5 T,8,table_only1212.txt,172,Giant low-field magnetocaloric effect in hexagonal Eu3B2O6 compound,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2022.168372,mp-505346
EuTiO3,49,7 T,,table_only_1stcheck230.txt,103,Large adiabatic temperature and magnetic entropy changes in EuTiO3,PHYSICAL REVIEW B,10.1103/PhysRevB.93.094422,mp-1079111
Ho3Ni6Al2,19.7,0-5 T,,table_only_1stcheck231.txt,219,"Large reversible magnetic entropy change of R3Ni6Al2 (R = Dy, Ho and Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2021.160468,mp-30791
Er3Co,24.5,0-5 T,13,table_only1231.txt,128,Order of magnetic transition and large magnetocaloric effect in Er3Co,CHINESE PHYSICS B,10.1088/1674-1056/19/4/047502,mp-1188770
LCSFMO,1.53,3 T,,table_only1251.txt,414,Magnetocaloric response of La0.70Ca0.1Sr0.2Fe0.1Mn0.9O3 pervoskite for magnetic refrigeration,BULLETIN OF MATERIALS SCIENCE,10.1007/s12034-014-0816-5,mp-643306
